operation,parameter,type,required,default,override_active,override_type
taylor_polynomial,degree,integer,True,None,False,
taylor_polynomial,variable,variable,False,'x',False,
taylor_series,expression,expression,True,None,False,
taylor_series,center,number,True,None,True,number
taylor_series,order,integer,True,None,False,
taylor_series,variable,variable,False,'x',False,
translate_point,x,number,True,None,False,
translate_point,y,number,True,None,False,
translate_point,delta_x,number,True,None,False,
translate_point,delta_y,number,True,None,False,
translate_points,points,list,True,None,False,
translate_points,delta_x,number,True,None,False,
translate_points,delta_y,number,True,None,False,
trapezoid_area,base_1,number,True,None,False,
trapezoid_area,base_2,number,True,None,False,
trapezoid_area,height,number,True,None,False,
trapezoid_perimeter,side_a,number,True,None,False,
trapezoid_perimeter,side_b,number,True,None,False,
trapezoid_perimeter,side_c,number,True,None,False,
trapezoid_perimeter,side_d,number,True,None,False,
trapezoidal_rule,expression,expression,True,None,False,
trapezoidal_rule,lower,bounds,True,None,False,
trapezoidal_rule,upper,bounds,True,None,False,
trapezoidal_rule,intervals,integer,True,None,False,
trapezoidal_rule,variable,variable,False,'x',False,
triangle_angle_sum_is_valid,angle_1,angle,True,None,False,
triangle_angle_sum_is_valid,angle_2,angle,True,None,False,
triangle_angle_sum_is_valid,angle_3,angle,True,None,False,
triangle_area,base,number,True,None,False,
triangle_area,height,number,True,None,False,
triangle_area_sas,side_a,number,True,None,False,
triangle_area_sas,side_b,number,True,None,False,
triangle_area_sas,included_angle,angle,True,None,False,
triangle_area_sas,unit,string,False,'degrees',False,
triangle_centroid,x1,number,True,None,False,
triangle_centroid,y1,number,True,None,False,
triangle_centroid,x2,number,True,None,False,
triangle_centroid,y2,number,True,None,False,
triangle_centroid,x3,number,True,None,False,
triangle_centroid,y3,number,True,None,False,
triangle_circumradius,side_a,number,True,None,False,
triangle_circumradius,side_b,number,True,None,False,
triangle_circumradius,side_c,number,True,None,False,
triangle_exterior_angle,remote_angle_1,angle,True,None,False,
triangle_exterior_angle,remote_angle_2,angle,True,None,False,
triangle_inradius_from_area,area,number,True,None,False,
triangle_inradius_from_area,side_a,number,True,None,False,
triangle_inradius_from_area,side_b,number,True,None,False,
triangle_inradius_from_area,side_c,number,True,None,False,
triangle_is_valid,side_a,number,True,None,False,
triangle_is_valid,side_b,number,True,None,False,
triangle_is_valid,side_c,number,True,None,False,
triangle_perimeter,side_a,number,True,None,False,
triangle_perimeter,side_b,number,True,None,False,
triangle_perimeter,side_c,number,True,None,False,
triangular_prism_surface_area,side_a,number,True,None,False,
triangular_prism_surface_area,side_b,number,True,None,False,
triangular_prism_surface_area,side_c,number,True,None,False,
triangular_prism_surface_area,triangle_base,number,True,None,False,
triangular_prism_surface_area,triangle_height,number,True,None,False,
triangular_prism_surface_area,prism_length,number,True,None,False,
triangular_prism_volume,triangle_base,number,True,None,False,
triangular_prism_volume,triangle_height,number,True,None,False,
triangular_prism_volume,prism_length,number,True,None,False,
trig_derivative,expression,expression,True,None,False,
trig_derivative,variable,variable,False,'x',False,
trig_expression_value,expression,expression,True,None,False,
trig_expression_value,substitutions,mapping,False,None,False,
trig_expression_value,decimal,boolean,False,False,False,
trig_frequency,B,number,True,None,False,
trig_integral,expression,expression,True,None,False,
trig_integral,variable,variable,False,'x',False,
trig_signs_by_quadrant,quadrant,integer,True,None,False,
triple_integral,expression,expression,True,None,False,
triple_integral,x_bounds,bounds,True,None,False,
triple_integral,y_bounds,bounds,True,None,False,
triple_integral,z_bounds,bounds,True,None,False,
unit_circle_coordinates,angle,angle,True,None,False,
unit_circle_coordinates,unit,string,False,'radians',False,
unit_circle_values,angle,angle,True,None,False,
unit_circle_values,unit,string,False,'radians',False,
valid_domain,expression,expression,True,None,False,
valid_domain,variable,variable,False,'x',False,
vector_components,magnitude,number,True,None,False,
vector_components,angle,angle,True,None,False,
vector_components,angle_unit,string,False,'degrees',False,
vector_curl,components,list,True,None,False,
vector_curl,variables,variable_list,False,"('x', 'y', 'z')",False,
vector_direction,x_component,number,True,None,False,
vector_direction,y_component,number,True,None,False,
vector_direction,output_unit,string,False,'degrees',False,
vector_divergence,components,list,True,None,False,
vector_divergence,variables,variable_list,False,"('x', 'y', 'z')",False,
vector_from_bearing,magnitude,number,True,None,False,
vector_from_bearing,bearing,angle,True,None,False,
vector_from_components,x_component,number,True,None,False,
vector_from_components,y_component,number,True,None,False,
vector_function_derivative,components,list,True,None,False,
vector_function_derivative,parameter,variable,False,'t',False,
vector_function_integral,components,list,True,None,False,
vector_function_integral,parameter,variable,False,'t',False,
vector_line_integral,field_components,list,True,None,False,
vector_line_integral,path_components,list,True,None,False,
vector_line_integral,lower,bounds,True,None,False,
vector_line_integral,upper,bounds,True,None,False,
vector_line_integral,parameter,variable,False,'t',False,
vector_magnitude,x_component,number,True,None,False,
vector_magnitude,y_component,number,True,None,False,
velocity_vector,position_components,list,True,None,False,
velocity_vector,parameter,variable,False,'t',False,
verify_trig_identity,left_side,expression,True,None,False,
verify_trig_identity,right_side,expression,True,None,False,
washer_volume,outer_radius,number,True,None,False,
washer_volume,inner_radius,number,True,None,False,
washer_volume,lower,bounds,True,None,False,
washer_volume,upper,bounds,True,None,False,
washer_volume,variable,variable,False,'x',False,
